
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  1.171E-006  1.68E-006 4.535E-009 6.505E-009
l2991914                 7.414       1.03    0.08862      1.195   0.08795     1.186
m1047503                 7.412       1.03    0.08815      1.189   0.08843     1.193
m1047751                 7.395      1.027          0          0         0         0
l2973154                 7.395      1.027          0          0         0         0
l3010565                 7.484      1.039          0          0         0         0
l2897775                 7.483      1.039          0          0         0         0
m1125955                 7.482      1.039          0          0         0         0
m1125957                 7.482      1.039          0          0         0         0
m1069640                 7.397      1.027          0          0         0         0
l2804269                 7.396      1.027          0          0         0         0
m1026702                 7.369      1.024    0.07336     0.9955    0.1055     1.432
n1139551                 7.365      1.023     0.0719     0.9762    0.1073     1.458
n1136355                 7.444      1.034          0          0         0         0
l2783231                 7.439      1.033          0          0         0         0
l2748143                 7.463      1.037          0          0         0         0
l3251854                 7.463      1.037          0          0         0         0
m1069610                 7.403      1.028          0          0         0         0
m1069600                 7.403      1.028          0          0         0         0
m1069424                 7.363      1.023    0.09754      1.325   0.06045     0.821
l2935549                 7.361      1.022    0.09785      1.329   0.05993    0.8141
p895089                  7.523      1.045          0          0         0         0
l3235242                 7.523      1.045          0          0         0         0
m1026795                 7.399      1.028    0.08365       1.13   0.09322      1.26
n1140522                  7.41      1.029          0          0         0         0
l3030199                 7.429      1.032    0.01509     0.2031   0.04151    0.5588
m1125934                 7.429      1.032    0.01505     0.2026   0.04128    0.5556
m1069189                 7.482      1.039   0.008503     0.1136   0.02204    0.2946
l2860487                 7.496      1.041          0          0         0         0
221-312488               7.348      1.021    0.04027     0.5481    0.1148     1.563
m1089183                 7.348      1.021    0.04027     0.5481    0.1148     1.563
m1108464                 7.333      1.019          0          0         0         0
l3102286                 7.333      1.018          0          0         0         0
f739845                  7.395      1.027    0.02822     0.3816   0.07382    0.9983
293471                   7.395      1.027    0.02822     0.3816   0.07382    0.9983
p827499                  7.402      1.028          0          0         0         0
n1139254                 7.402      1.028          0          0         0         0
m1026657                 7.317      1.016          0          0         0         0
m1026656                 7.317      1.016          0          0         0         0
m1108299                 7.413       1.03          0          0         0         0
m1108300                 7.413       1.03          0          0         0         0
l3198355                 7.412       1.03          0          0         0         0
l2805037                 7.412       1.03          0          0         0         0
n1137994                  7.39      1.026          0          0         0         0
m1069484                 7.389      1.026          0          0         0         0
l2860504                 7.321      1.017          0          0         0         0
l2860493                 7.321      1.017          0          0         0         0
m1026783                 7.395      1.027    0.08226      1.112   0.09486     1.283
m1026780                 7.395      1.027    0.08205       1.11   0.09512     1.286
p895111                  7.484       1.04          0          0         0         0
l2895496                 7.484       1.04          0          0         0         0
n1140819                 7.361      1.022    0.07113     0.9663    0.1079     1.466
m1026700                  7.36      1.022    0.07103     0.9651     0.108     1.467
m1089173                 7.376      1.024          0          0         0         0
l2935551                 7.375      1.024          0          0         0         0
m1026344                 7.331      1.018          0          0         0         0
m1026364                 7.331      1.018          0          0         0         0
l2879070                 7.432      1.032    0.09128      1.228   0.09854     1.326
l3216345                 7.429      1.032    0.09094      1.224    0.1004     1.351
m1069428                 7.364      1.023     0.0973      1.321   0.06088    0.8267
n1139257                 7.321      1.017          0          0         0         0
l2991919                 7.328      1.018          0          0         0         0
m1026361                 7.327      1.018          0          0         0         0
n1147857                 7.326      1.018          0          0         0         0
m1009742                 7.325      1.017          0          0         0         0
q14412                   7.417       1.03    0.02251     0.3035   0.06477    0.8732
m1047325                 7.416       1.03    0.02279     0.3074   0.06525    0.8799
n1139263                 7.405      1.029          0          0         0         0
l3048227                 7.405      1.029          0          0         0         0
p827506                  7.405      1.029          0          0         0         0
m1069469                 7.405      1.029          0          0         0         0
m1027019                 7.348      1.021          0          0         0         0
l2785522                 7.348      1.021          0          0         0         0
l3216338                 7.311      1.015          0          0         0         0
l2973146                 7.311      1.015          0          0         0         0
m3037452                 7.322      1.017          0          0         0         0
l2973164                 7.322      1.017          0          0         0         0
l3120376                 7.382      1.025          0          0         0         0
m1026925                 7.381      1.025          0          0         0         0
m1047612                  7.47      1.038          0          0         0         0
p828360                   7.47      1.038          0          0         0         0
m1089195                 7.523      1.045          0          0         0         0
l3141393                 7.522      1.045          0          0         0         0
m1026946                 7.358      1.022          0          0         0         0
m1026940                 7.357      1.022          0          0         0         0
m1047471                  7.23      1.004          0          0         0         0
l3216349                  7.23      1.004          0          0         0         0
m1047401                 7.286      1.012          0          0         0         0
l2748132                 7.286      1.012          0          0         0         0
l3122820                 7.304      1.015          0          0         0         0
l3141398                 7.304      1.015          0          0         0         0
m1108360                 7.421      1.031          0          0         0         0
l3048968                 7.421      1.031          0          0         0         0
l2801950                 7.472      1.038          0          0         0         0
m1069224                 7.471      1.038          0          0         0         0
l2766746                 7.393      1.027          0          0         0         0
m1027073                 7.392      1.027          0          0         0         0
m1142873                 7.484       1.04          0          0         0         0
m1069181                 7.453      1.035          0          0         0         0
l2973151                 7.452      1.035          0          0         0         0
l3179682                 7.472      1.038          0          0         0         0
l2786274                 7.471      1.038          0          0         0         0
l3066816                  7.32      1.017          0          0         0         0
m1026667                  7.32      1.017          0          0         0         0
m1108529                 7.526      1.045    0.07375       0.98   0.05091    0.6765
m1108532                 7.525      1.045    0.07379     0.9806   0.05139    0.6829
l2766723                 7.321      1.017          0          0         0         0
l3122822                 7.321      1.017          0          0         0         0
l2673312                 7.319      1.017          0          0         0         0
l3235247                 7.319      1.017          0          0         0         0
m1166391                 7.453      1.035          0          0         0         0
l3254873                  7.45      1.035          0          0         0         0
l2861157                 7.477      1.039          0          0         0         0
p901951                  7.475      1.038          0          0         0         0
m1047346                 7.427      1.032     0.0201     0.2706   0.06044    0.8137
m1047345                 7.426      1.031    0.02044     0.2752    0.0611    0.8228
l2989596                 7.425      1.031          0          0         0         0
l2822873                 7.424      1.031          0          0         0         0
m1108328                 7.457      1.036          0          0         0         0
l2875754                 7.457      1.036          0          0         0         0
l2786204                 7.516      1.044          0          0         0         0
m1209819                 7.513      1.044          0          0         0         0
p901972                  7.325      1.017          0          0         0         0
m1009726                 7.323      1.017          0          0         0         0
m1047702                 7.422      1.031          0          0         0         0
n1137001                 7.422      1.031          0          0         0         0
l2767340                  7.37      1.024    0.03381     0.4587    0.1028     1.394
m3037449                  7.37      1.024    0.03381     0.4587    0.1028     1.394
m1047457                 7.235      1.005          0          0         0         0
l2710546                 7.234      1.005          0          0         0         0
l2674027                 7.334      1.019    0.04676     0.6376     0.134     1.827
l2692633                 7.332      1.018     0.0473     0.6451    0.1353     1.845
n1142108                 7.388      1.026          0          0         0         0
l2674051                 7.388      1.026          0          0         0         0
m1069135                 7.438      1.033     0.0181     0.2433   0.05651    0.7597
r18242                   7.436      1.033    0.01858     0.2499   0.05747    0.7729
m1047534                 7.486       1.04    0.09414      1.258    0.0843     1.126
n1136663                 7.475      1.038    0.09363      1.253   0.08572     1.147
m1108508                 7.522      1.045          0          0         0         0
l3097861                 7.522      1.045          0          0         0         0
m1069560                 7.422      1.031          0          0         0         0
l2973153                 7.428      1.032    0.09845      1.325   0.09469     1.275
n1136998                 7.428      1.032    0.09856      1.327   0.09481     1.276
l2898515                 7.503      1.042          0          0         0         0
m1166387                 7.503      1.042          0          0         0         0
m1047442                 7.253      1.007          0          0         0         0
l3235250                 7.253      1.007          0          0         0         0
m1142871                 7.414       1.03    0.02105     0.2839   0.06528    0.8804
m1142874                 7.413       1.03     0.0214     0.2887   0.06635     0.895
l2955081                 7.425      1.031    0.01426      0.192   0.03521    0.4741
m1108315                 7.425      1.031    0.01418      0.191   0.03457    0.4655
l2973162                 7.373      1.024    0.03889     0.5274    0.0909     1.233
m1026333                 7.372      1.024    0.03949     0.5356   0.09179     1.245
m1009832                 7.316      1.016          0          0         0         0
l2860479                 7.316      1.016          0          0         0         0
m1026854                 7.415       1.03    0.08977      1.211     0.109     1.471
p901894                  7.391      1.027          0          0         0         0
m1026485                 7.347      1.021          0          0         0         0
m1026492                 7.347      1.021          0          0         0         0
d6413567-3_int           7.475      1.038   0.006503    0.08699   0.02622    0.3508
e182724                  7.475      1.038   0.006499    0.08694   0.02624     0.351
n1139541                 7.476      1.038   0.006686    0.08943   0.02579     0.345
m4122658                 7.353      1.021       0.04      0.544    0.1182     1.607
l2933135                 7.353      1.021    0.04001     0.5442    0.1182     1.607
l2729414                 7.369      1.024    0.07336     0.9955    0.1055     1.432
l2729430                 7.339      1.019          0          0         0         0
l2766742                 7.335      1.019          0          0         0         0
m1026972                 7.262      1.009          0          0         0         0
l2860483                 7.262      1.009          0          0         0         0
l2860490                 7.432      1.032    0.01932     0.2599   0.05895    0.7932
l3104134                 7.429      1.032    0.01976      0.266   0.05979    0.8049
m1089144                 7.317      1.016          0          0         0         0
p827522                  7.317      1.016          0          0         0         0
m1089118                 7.502      1.042    0.01029     0.1372   0.01849    0.2464
l3048208                 7.498      1.042          0          0         0         0
m1108505                 7.338      1.019    0.04532     0.6176    0.1304     1.777
l2955047                 7.337      1.019    0.04576     0.6237    0.1315     1.792
m1089148                 7.315      1.016          0          0         0         0
l2766721                 7.315      1.016          0          0         0         0
m1026745                 7.228      1.004          0          0         0         0
l3029183                 7.227      1.004          0          0         0         0
l2710512                 7.245      1.006          0          0         0         0
m1047828                 7.242      1.006          0          0         0         0
m1047342                 7.396      1.027          0          0         0         0
l3197645                 7.396      1.027          0          0         0         0
m1069192                 7.456      1.036          0          0         0         0
l3235253                 7.456      1.036          0          0         0         0
l3214071                 7.393      1.027    0.02676      0.362    0.0823     1.113
m1125952                 7.391      1.027    0.02731     0.3694   0.08388     1.135
m1027101                 7.242      1.006          0          0         0         0
l2860480                 7.242      1.006          0          0         0         0
l2710517                 7.306      1.015          0          0         0         0
m1026646                 7.305      1.015          0          0         0         0
m1069662                 7.396      1.027          0          0         0         0
l2935547                 7.396      1.027          0          0         0         0
m1026931                 7.378      1.025          0          0         0         0
l3216336                 7.378      1.025          0          0         0         0
l3142049                 7.345       1.02    0.04275      0.582    0.1244     1.694
m1108493                 7.343       1.02    0.04353     0.5928    0.1262     1.719
m1069169                 7.471      1.038   0.005553    0.07433   0.02892    0.3871
l3010556                 7.469      1.037   0.005573    0.07462   0.03089    0.4136
l2991933                 7.435      1.033          0          0         0         0
l3122837                 7.435      1.033          0          0         0         0
l2691936                 7.377      1.025          0          0         0         0
l2897772                 7.366      1.023          0          0         0         0
l3101814                 7.366      1.023          0          0         0         0
l2766732                 7.348      1.021          0          0         0         0
l2989564                 7.396      1.027          0          0         0         0
m1126016                 7.195     0.9993          0          0         0         0
l3120534                 7.194     0.9993          0          0         0         0
m1026330                 7.371      1.024    0.04067     0.5517   0.09356     1.269
l2766726                 7.288      1.012          0          0         0         0
p901912                  7.398      1.028          0          0         0         0
l3195365                 7.398      1.028          0          0         0         0
m1108381                  7.35      1.021    0.04023     0.5473    0.1147     1.561
l3254237                 7.349      1.021    0.04024     0.5476    0.1148     1.563
l2804262                  7.39      1.026          0          0         0         0
l2841639                 7.388      1.026          0          0         0         0
n1230123                 7.344       1.02          0          0         0         0
l2708744                 7.342       1.02          0          0         0         0
m1069519                  7.48      1.039    0.07983      1.067   0.09372     1.253
p901927                   7.45      1.035          0          0         0         0
l2897790                  7.53      1.046          0          0         0         0
l2935566                  7.53      1.046          0          0         0         0
l3216337                 7.378      1.025          0          0         0         0
p901931                  7.531      1.046          0          0         0         0
m1069548                  7.53      1.046          0          0         0         0
m1010013                 7.272       1.01          0          0         0         0
l3120503                 7.272       1.01          0          0         0         0
m1089145                 7.354      1.021    0.01778     0.2418   0.04304    0.5853
l3215385                 7.354      1.021    0.01778     0.2418   0.04305    0.5854
m1026852                 7.412      1.029    0.08979      1.211    0.1106     1.492
m1069420                 7.359      1.022    0.09816      1.334   0.05934    0.8063
l3157708                  7.44      1.033          0          0         0         0
n1137991                  7.44      1.033          0          0         0         0
m1108413                 7.235      1.005          0          0         0         0
m1108460                 7.234      1.005          0          0         0         0
p827532                  7.383      1.025          0          0         0         0
m1047326                 7.383      1.025          0          0         0         0
e182732                  7.383      1.025    0.07806      1.057   0.09989     1.353
m1026760                 7.383      1.025    0.07796      1.056       0.1     1.355
l3048205                 7.414       1.03          0          0         0         0
m1108361                 7.406      1.029          0          0         0         0
m3036169                 7.308      1.015          0          0         0         0
l2673317                 7.308      1.015          0          0         0         0
l3178981                  7.39      1.026          0          0         0         0
m1047368                 7.381      1.025          0          0         0         0
n1136354                 7.479      1.039    0.08046      1.076   0.09525     1.273
l2879794                 7.378      1.025          0          0         0         0
m1142811                 7.378      1.025          0          0         0         0
m1069565                 7.425      1.031          0          0         0         0
l2785536                 7.424      1.031          0          0         0         0
l3104114                 7.325      1.017          0          0         0         0
m1009824                 7.323      1.017          0          0         0         0
l2745848                 7.382      1.025    0.09393      1.272   0.06799    0.9211
l2673308                  7.38      1.025    0.09417      1.276   0.06754    0.9151
l2991939                 7.378      1.025    0.09462      1.282   0.06663    0.9031
l2916606                 7.427      1.032          0          0         0         0
l2822864                 7.426      1.032          0          0         0         0
m1142851                  7.43      1.032    0.01725     0.2322   0.05344    0.7192
196-31070                 7.43      1.032    0.01737     0.2338   0.05381    0.7243
m1209822                 7.489       1.04          0          0         0         0
m1209823                 7.487       1.04          0          0         0         0
m1069550                 7.427      1.032          0          0         0         0
m1069551                 7.427      1.032          0          0         0         0
l3141397                 7.262      1.009          0          0         0         0
l3649299                  7.41      1.029          0          0         0         0
m3772794                  7.41      1.029          0          0         0         0
p895106                  7.374      1.024          0          0         0         0
l3048887                 7.374      1.024          0          0         0         0
m1047824                 7.246      1.006          0          0         0         0
m1047834                 7.243      1.006          0          0         0         0
m1069350                 7.346       1.02     0.1001      1.363   0.04895    0.6665
n1144668                 7.345       1.02     0.1001      1.362   0.04844    0.6594
l2879072                 7.264      1.009          0          0         0         0
m1047441                 7.255      1.008          0          0         0         0
m1108274                 7.491       1.04          0          0         0         0
m1108269                 7.491       1.04          0          0         0         0
l3235244                 7.397      1.027          0          0         0         0
m1069398                 7.396      1.027          0          0         0         0
n1147862                 7.346       1.02          0          0         0         0
l2685805                 7.346       1.02          0          0         0         0
m1069247                 7.404      1.028          0          0         0         0
m1069248                 7.404      1.028          0          0         0         0
l2786273                 7.491       1.04          0          0         0         0
m1108278                  7.49       1.04          0          0         0         0
l3254238                 7.398      1.028    0.02739     0.3703   0.07256    0.9809
m1047303                 7.395      1.027    0.02822     0.3816   0.07383    0.9983
m1047633                 7.469      1.037          0          0         0         0
l2897554                 7.468      1.037          0          0         0         0
m1069627                 7.395      1.027          0          0         0         0
l2897791                 7.394      1.027          0          0         0         0
m1089097                 7.493      1.041          0          0         0         0
m1108270                 7.493      1.041          0          0         0         0
n1142101                 7.219      1.003          0          0         0         0
l2936214                 7.219      1.003          0          0         0         0
l3066810                 7.373      1.024          0          0         0         0
l2897769                 7.372      1.024          0          0         0         0
m1209758                 7.517      1.044          0          0         0         0
m1209753                 7.517      1.044          0          0         0         0
m1047528                 7.457      1.036     0.0931      1.249   0.08891     1.192
l2858166                 7.456      1.036     0.0931      1.249     0.089     1.194
m1142843                 7.435      1.033    0.01614      0.217   0.04981    0.6699
l3081380                 7.434      1.033    0.01602     0.2154   0.04869    0.6549
l2804272                 7.427      1.032          0          0         0         0
l2841641                 7.427      1.032          0          0         0         0
m1069393                 7.279      1.011          0          0         0         0
m1069408                 7.275      1.011          0          0         0         0
n1142104                  7.34       1.02    0.04466     0.6085    0.1289     1.756
m1108500                 7.339      1.019    0.04508     0.6143    0.1299     1.769
l3216348                 7.288      1.012          0          0         0         0
l2841627                 7.287      1.012          0          0         0         0
l2916599                 7.381      1.025          0          0         0         0
m1047447                 7.245      1.006          0          0         0         0
l2954349                 7.245      1.006          0          0         0         0
l3235246                 7.246      1.006          0          0         0         0
m1125911                 7.419      1.031          0          0         0         0
l2711224                 7.418       1.03          0          0         0         0
n1147863                 7.442      1.034          0          0         0         0
l3122817                 7.442      1.034          0          0         0         0
m1186061                 7.498      1.041   0.009157     0.1221   0.02849      0.38
l2861223                 7.517      1.044          0          0         0         0
m1069130                 7.412       1.03          0          0         0         0
l3085396                 7.412       1.03          0          0         0         0
e182730                  7.368      1.023          0          0         0         0
n1142109                 7.368      1.023          0          0         0         0
m1069417                 7.353      1.021    0.09942      1.352   0.05719    0.7778
n1138597                 7.353      1.021    0.09952      1.354   0.05701    0.7754
m1026987                 7.258      1.008          0          0         0         0
m1026990                 7.257      1.008          0          0         0         0
m1142832                 7.433      1.032    0.01575     0.2119   0.04646    0.6251
l3160865                 7.432      1.032    0.01569     0.2111   0.04595    0.6183
l2673323                 7.435      1.033          0          0         0         0
m1009809                 7.435      1.033          0          0         0         0
l2822869                 7.409      1.029    0.08707      1.175   0.08952     1.208
m1026808                 7.405      1.029    0.08589       1.16   0.09072     1.225
m1047825                 7.237      1.005          0          0         0         0
m1069731                 7.236      1.005          0          0         0         0
n1140520                 7.417       1.03          0          0         0         0
l2729410                 7.417       1.03          0          0         0         0
l3178978                 7.302      1.014          0          0         0         0
m1069384                 7.398      1.028          0          0         0         0
l3066805                 7.398      1.027          0          0         0         0
m4362181                 7.234      1.005          0          0         0         0
m1047319                 7.487       1.04          0          0         0         0
m1047318                 7.487       1.04          0          0         0         0
l3216358                 7.373      1.024          0          0         0         0
m1026826                 7.372      1.024          0          0         0         0
m1108276                 7.491       1.04          0          0         0         0
m1089198                 7.504      1.042    0.07547      1.006   0.06901    0.9197
m1089201                   7.5      1.042     0.0759      1.012   0.07256    0.9674
m1047763                 7.389      1.026     0.1185      1.604     0.117     1.583
n1136027                 7.397      1.027          0          0         0         0
l3101827                  7.52      1.045          0          0         0         0
m1108540                 7.518      1.044          0          0         0         0
m1026335                  7.33      1.018          0          0         0         0
l2804259                  7.33      1.018          0          0         0         0
n1136357                  7.53      1.046          0          0         0         0
m1047513                 7.426      1.031    0.09065      1.221   0.08661     1.166
m1047507                 7.418       1.03    0.09012      1.215    0.0865     1.166
m1142863                 7.425      1.031    0.01851     0.2493   0.05738    0.7729
n1141480                 7.486       1.04          0          0         0         0
m1125916                  7.42      1.031          0          0         0         0
l2879767                  7.42      1.031          0          0         0         0
l3066809                 7.385      1.026          0          0         0         0
m1069487                 7.384      1.026          0          0         0         0
m1142818                  7.43      1.032    0.01531     0.2061   0.04309    0.5799
p829965                   7.43      1.032    0.01547     0.2082   0.04334    0.5833
q14733                    7.51      1.043    0.09541       1.27   0.08131     1.083
m1047568                 7.509      1.043    0.09533       1.27   0.08148     1.085
m1047322                 7.383      1.025          0          0         0         0
l2954338                 7.322      1.017          0          0         0         0
m1047409                 7.289      1.012          0          0         0         0
l2841648                 7.289      1.012          0          0         0         0
m1089177                 7.374      1.024          0          0         0         0
m1026951                 7.358      1.022          0          0         0         0
l2954347                 7.358      1.022          0          0         0         0
m4122657                 7.449      1.035          0          0         0         0
l3027124                 7.449      1.035          0          0         0         0
m1069419                 7.355      1.022    0.09896      1.345   0.05793    0.7876
m1069418                 7.355      1.022    0.09913      1.348   0.05766     0.784
m1026824                 7.371      1.024    0.09489      1.287     0.121     1.642
p859694                  7.436      1.033          0          0         0         0
m1047453                 7.237      1.005          0          0         0         0
l2691948                 7.237      1.005          0          0         0         0
p860892                   7.49       1.04          0          0         0         0
n1139543                  7.49       1.04          0          0         0         0
m1089205                   7.5      1.042          0          0         0         0
n1134472                   7.5      1.042          0          0         0         0
l2710542                  7.34       1.02          0          0         0         0
m3032980                 7.501      1.042   0.009354     0.1247   0.02853    0.3803
m3032977                 7.488       1.04   0.009754     0.1303   0.03201    0.4275
m3763618                 7.434      1.033    0.09163      1.233    0.0965     1.298
p1121282                 7.463      1.037          0          0         0         0
l2917330                 7.378      1.025          0          0         0         0
l2861222                 7.378      1.025          0          0         0         0
m1047490                 7.405      1.028    0.09049      1.222   0.08219      1.11
p1164481                 7.411      1.029          0          0         0         0
m1069356                 7.342       1.02          0          0         0         0
m1069363                 7.342       1.02          0          0         0         0
p828359                   7.47      1.038          0          0         0         0
l2878848                 7.469      1.037          0          0         0         0
m1047486                 7.392      1.027    0.09214      1.246   0.07458     1.009
l3177665                 7.409      1.029          0          0         0         0
l2805036                  7.49       1.04          0          0         0         0
l2692654                 7.384      1.026          0          0         0         0
m1125929                 7.384      1.026          0          0         0         0
m1047669                 7.425      1.031    0.09926      1.337   0.09557     1.287
m1047672                 7.425      1.031     0.0993      1.337   0.09561     1.288
m1125919                 7.428      1.032    0.01481     0.1994   0.03981    0.5359
p829961                  7.384      1.026          0          0         0         0
m1142819                  7.43      1.032    0.01536     0.2068   0.04364    0.5873
p829960                  7.429      1.032          0          0         0         0
p829979                  7.519      1.044          0          0         0         0
m3036172                 7.519      1.044          0          0         0         0
m1026883                 7.461      1.036          0          0         0         0
m1026898                 7.461      1.036          0          0         0         0
m1089143                 7.354      1.021    0.01778     0.2418   0.04303    0.5851
l3141400                 7.317      1.016          0          0         0         0
m1069481                 7.382      1.025    0.09381      1.271   0.06821    0.9239
p827507                  7.389      1.026          0          0         0         0
m1026377                 7.324      1.017          0          0         0         0
l3048210                 7.323      1.017          0          0         0         0
e182722                    7.4      1.028          0          0         0         0
m1026331                 7.372      1.024    0.04001     0.5427   0.09257     1.256
l3214055                 7.496      1.041          0          0         0         0
m1108295                 7.412       1.03    0.01465     0.1976   0.03748    0.5057
l2936279                 7.405      1.029    0.01491     0.2013   0.03804    0.5136
m1026704                 7.227      1.004          0          0         0         0
l2841634                 7.227      1.004          0          0         0         0
m1047386                 7.366      1.023          0          0         0         0
m1047379                 7.365      1.023          0          0         0         0
m1089115                 7.492      1.041    0.01022     0.1364   0.01878    0.2506
m1026486                 7.347      1.021          0          0         0         0
m1026488                 7.347      1.021          0          0         0         0
l3010570                 7.331      1.018          0          0         0         0
p904451                  7.238      1.005          0          0         0         0
221-282819               7.238      1.005          0          0         0         0
m1125968                 7.378      1.025    0.03138     0.4254   0.09587     1.299
p895107                  7.481      1.039          0          0         0         0
n1136999                 7.427      1.032          0          0         0         0
m1069412                 7.272       1.01          0          0         0         0
l2879061                 7.272       1.01          0          0         0         0
m1026947                 7.358      1.022          0          0         0         0
m1142880                 7.437      1.033          0          0         0         0
l2891575                 7.437      1.033          0          0         0         0
m1026848                 7.363      1.023          0          0         0         0
m1026847                 7.363      1.023          0          0         0         0
l2897793                 7.443      1.034          0          0         0         0
m1069521                 7.443      1.034          0          0         0         0
m1069175                 7.478      1.039   0.007253      0.097   0.02454    0.3281
l3197637                 7.496      1.041          0          0         0         0
l3197635                 7.255      1.008          0          0         0         0
l2804257                 7.349      1.021          0          0         0         0
l2860485                 7.349      1.021          0          0         0         0
l3235945                 7.517      1.044          0          0         0         0
l2842330                 7.517      1.044          0          0         0         0
l2804254                 7.394      1.027          0          0         0         0
m1047752                 7.394      1.027          0          0         0         0
m1166370                 7.506      1.043          0          0         0         0
m1166364                 7.506      1.043          0          0         0         0
m3763619                 7.434      1.033    0.09163      1.233   0.09662       1.3
m3037540                 7.401      1.028          0          0         0         0
l2710509                 7.401      1.028          0          0         0         0
l2763072                 7.266      1.009          0          0         0         0
m4118754                 7.264      1.009          0          0         0         0
m1089196                 7.507      1.043    0.07521      1.002   0.06688     0.891
m1047484                  7.39      1.026    0.09252      1.252   0.07296    0.9873
l3010560                 7.389      1.026    0.09274      1.255   0.07201    0.9746
l3254219                 7.502      1.042          0          0         0         0
l3254220                 7.502      1.042          0          0         0         0
m1026648                 7.311      1.015          0          0         0         0
m1026647                  7.31      1.015          0          0         0         0
m1089112                 7.487       1.04    0.01017     0.1358     0.019    0.2538
l2691951                 7.494      1.041          0          0         0         0
