
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  1.05E-006  1.505E-006 4.535E-009 6.505E-009
l3198355                 7.576      1.052          0          0         0         0
l2805037                 7.576      1.052          0          0         0         0
n1137994                 7.472      1.038          0          0         0         0
m1069484                 7.471      1.038          0          0         0         0
l2860504                 7.361      1.022          0          0         0         0
l2860493                  7.36      1.022          0          0         0         0
m1026783                 7.455      1.035     0.1469       1.97    0.1464     1.964
m1026780                 7.454      1.035     0.1465      1.966    0.1469     1.971
p895111                  7.653      1.063          0          0         0         0
l2895496                 7.653      1.063          0          0         0         0
n1140819                 7.403      1.028     0.1295      1.749    0.1709     2.309
m1026700                 7.402      1.028     0.1293      1.747    0.1711     2.311
m1089173                 7.467      1.037          0          0         0         0
l2935551                 7.466      1.037          0          0         0         0
m1026344                 7.844       1.09          0          0         0         0
m1026364                 7.844      1.089          0          0         0         0
l2879070                 7.483      1.039       0.16      2.137    0.1441     1.925
l3216345                 7.484       1.04     0.1593      2.128     0.147     1.964
m1069428                 7.548      1.048     0.1773      2.349    0.1072     1.421
n1139257                 7.526      1.045          0          0         0         0
l2991919                  7.84      1.089          0          0         0         0
m1026361                 7.838      1.089          0          0         0         0
n1147857                  7.46      1.036          0          0         0         0
m1009742                 7.458      1.036          0          0         0         0
q14412                   7.771      1.079    0.04643     0.5975    0.1043     1.342
m1047325                 7.776       1.08    0.04677     0.6015     0.105     1.351
n1139263                 7.589      1.054          0          0         0         0
l3048227                 7.589      1.054          0          0         0         0
p827506                  7.589      1.054          0          0         0         0
m1069469                 7.589      1.054          0          0         0         0
m1027019                 7.736      1.075          0          0         0         0
l2785522                 7.736      1.075          0          0         0         0
l3216338                 7.447      1.034          0          0         0         0
l2973146                 7.447      1.034          0          0         0         0
m3037452                 7.831      1.088          0          0         0         0
l2973164                 7.831      1.088          0          0         0         0
l3120376                 7.475      1.038          0          0         0         0
m1026925                 7.473      1.038          0          0         0         0
m1047612                 7.446      1.034          0          0         0         0
p828360                  7.446      1.034          0          0         0         0
m1089195                  7.56       1.05          0          0         0         0
l3141393                  7.56       1.05          0          0         0         0
m1026946                 7.635       1.06          0          0         0         0
m1026940                 7.634       1.06          0          0         0         0
m1047471                 7.446      1.034          0          0         0         0
l3216349                 7.446      1.034          0          0         0         0
m1047401                 7.306      1.015          0          0         0         0
l2748132                 7.306      1.015          0          0         0         0
l3122820                 7.335      1.019          0          0         0         0
l3141398                 7.334      1.019          0          0         0         0
m1108360                 7.538      1.047          0          0         0         0
l3048968                 7.538      1.047          0          0         0         0
l2801950                 7.528      1.046          0          0         0         0
m1069224                 7.528      1.046          0          0         0         0
l2766746                 7.654      1.063          0          0         0         0
m1027073                 7.652      1.063          0          0         0         0
m1142873                 7.652      1.063          0          0         0         0
m1069181                 7.599      1.055          0          0         0         0
l2973151                 7.597      1.055          0          0         0         0
l3179682                 7.618      1.058          0          0         0         0
l2786274                 7.618      1.058          0          0         0         0
l3066816                 7.359      1.022          0          0         0         0
m1026667                 7.359      1.022          0          0         0         0
m1108529                   7.5      1.042     0.1053      1.403   0.06855    0.9139
m1108532                 7.501      1.042     0.1054      1.406   0.06941    0.9254
l2766723                  7.36      1.022          0          0         0         0
l3122822                  7.36      1.022          0          0         0         0
l2673312                 7.673      1.066          0          0         0         0
l3235247                 7.673      1.066          0          0         0         0
m1166391                 7.456      1.036          0          0         0         0
l3254873                 7.453      1.035          0          0         0         0
l2861157                 7.495      1.041          0          0         0         0
p901951                  7.492      1.041          0          0         0         0
m1047346                 7.736      1.074    0.04361     0.5638   0.09816     1.269
m1047345                 7.741      1.075    0.04398     0.5682   0.09904     1.279
l2989596                 7.456      1.036          0          0         0         0
l2822873                 7.456      1.036          0          0         0         0
m1108328                 7.595      1.055          0          0         0         0
l2875754                 7.595      1.055          0          0         0         0
l2786204                 7.557       1.05          0          0         0         0
m1209819                 7.553      1.049          0          0         0         0
p901972                  7.458      1.036          0          0         0         0
m1009726                 7.455      1.035          0          0         0         0
m1047702                 7.474      1.038          0          0         0         0
n1137001                 7.474      1.038          0          0         0         0
l2767340                  7.62      1.058    0.03118     0.4091   0.09419     1.236
m3037449                  7.62      1.058    0.03118     0.4091   0.09419     1.236
m1047457                 7.454      1.035          0          0         0         0
l2710546                 7.453      1.035          0          0         0         0
l2674027                 7.641      1.061    0.03907     0.5112    0.1392     1.822
l2692633                 7.643      1.062    0.03945     0.5162    0.1411     1.846
n1142108                 7.648      1.062          0          0         0         0
l2674051                 7.648      1.062          0          0         0         0
m1069135                 7.699      1.069    0.04149     0.5389   0.09311     1.209
r18242                   7.709      1.071      0.042     0.5448   0.09431     1.223
m1047534                 7.491      1.041      0.165      2.202    0.1176      1.57
n1136663                 7.488       1.04     0.1642      2.192    0.1212     1.618
m1108508                 7.526      1.045          0          0         0         0
l3097861                 7.526      1.045          0          0         0         0
m1069560                 7.452      1.035          0          0         0         0
l2973153                  7.45      1.035      0.168      2.255    0.1333     1.789
n1136998                 7.449      1.035      0.168      2.256    0.1334      1.79
l2898515                 7.615      1.058          0          0         0         0
m1166387                 7.615      1.058          0          0         0         0
m1047442                 7.482      1.039          0          0         0         0
l3235250                 7.482      1.039          0          0         0         0
m1142871                 7.614      1.058    0.02199     0.2888   0.04622     0.607
m1142874                 7.614      1.058    0.02224     0.2921    0.0475    0.6238
l2955081                 7.615      1.058    0.01784     0.2342   0.03516    0.4617
m1108315                 7.616      1.058    0.01795     0.2358   0.03656    0.4801
l2973162                 7.868      1.093    0.06927     0.8804    0.1453     1.847
m1026333                 7.867      1.093    0.07023     0.8928    0.1468     1.867
m1009832                 7.455      1.035          0          0         0         0
l2860479                 7.455      1.035          0          0         0         0
m1026854                 7.492      1.041     0.1568      2.093    0.1606     2.144
p901894                   7.49       1.04          0          0         0         0
m1026485                 7.525      1.045          0          0         0         0
m1026492                 7.525      1.045          0          0         0         0
d6413567-3_int           7.573      1.052     0.0234      0.309   0.05346    0.7059
e182724                  7.573      1.052    0.02341     0.3092   0.05347     0.706
n1139541                 7.571      1.052     0.0234      0.309   0.05313    0.7017
m4122658                 7.629       1.06    0.03488     0.4572    0.1158     1.518
l2933135                 7.629       1.06    0.03489     0.4574    0.1158     1.519
l2729414                 7.415       1.03     0.1328      1.791    0.1662     2.241
l2729430                 7.491       1.04          0          0         0         0
l2766742                 7.484       1.04          0          0         0         0
m1026972                 7.224      1.003          0          0         0         0
l2860483                 7.224      1.003          0          0         0         0
l2860490                 7.722      1.073    0.04277     0.5539   0.09618     1.245
l3104134                  7.73      1.074    0.04326     0.5596   0.09731     1.259
m1089144                 7.704       1.07          0          0         0         0
p827522                  7.703       1.07          0          0         0         0
m1089118                 7.526      1.045    0.02322     0.3086   0.04801     0.638
l3048208                 7.565      1.051          0          0         0         0
m1108505                 7.638      1.061      0.038     0.4975     0.134     1.754
l2955047                 7.639      1.061    0.03833     0.5018    0.1356     1.775
m1089148                 7.701       1.07          0          0         0         0
l2766721                 7.701       1.07          0          0         0         0
m1026745                 7.443      1.034          0          0         0         0
l3029183                 7.442      1.034          0          0         0         0
l2710512                 7.196     0.9995          0          0         0         0
m1047828                 7.191     0.9989          0          0         0         0
m1047342                 7.738      1.075          0          0         0         0
l3197645                 7.738      1.075          0          0         0         0
m1069192                 7.604      1.056          0          0         0         0
l3235253                 7.603      1.056          0          0         0         0
l3214071                 7.617      1.058    0.02607     0.3423   0.06739    0.8848
m1125952                 7.617      1.058    0.02646     0.3473   0.06941    0.9113
m1027101                 7.192      0.999          0          0         0         0
l2860480                 7.192      0.999          0          0         0         0
l2710517                 7.336      1.019          0          0         0         0
m1026646                 7.335      1.019          0          0         0         0
m1069662                  7.41      1.029          0          0         0         0
l2935547                  7.41      1.029          0          0         0         0
m1026931                 7.469      1.037          0          0         0         0
l3216336                 7.468      1.037          0          0         0         0
l3142049                 7.633       1.06    0.03645     0.4775    0.1251     1.638
m1108493                 7.635       1.06    0.03692     0.4836    0.1278     1.673
m1069169                 7.583      1.053    0.02358     0.3109   0.05566     0.734
l3010556                 7.592      1.054    0.02448     0.3225   0.05813    0.7657
l2991933                 7.509      1.043          0          0         0         0
l3122837                 7.509      1.043          0          0         0         0
l2691936                 7.468      1.037          0          0         0         0
l2897772                 7.798      1.083          0          0         0         0
l3101814                 7.798      1.083          0          0         0         0
l2766732                 7.526      1.045          0          0         0         0
l2989564                 7.411      1.029          0          0         0         0
m1126016                 7.528      1.046          0          0         0         0
l3120534                 7.527      1.046          0          0         0         0
m1026330                 7.865      1.092    0.07214     0.9173    0.1498     1.905
l2766726                 7.694      1.069          0          0         0         0
p901912                  7.512      1.043          0          0         0         0
l3195365                 7.512      1.043          0          0         0         0
m1108381                 7.605      1.056    0.03525     0.4635    0.1092     1.436
l3254237                 7.605      1.056    0.03514     0.4621    0.1094     1.438
l2804262                 7.487       1.04          0          0         0         0
l2841639                 7.485       1.04          0          0         0         0
n1230123                   7.6      1.056          0          0         0         0
l2708744                 7.598      1.055          0          0         0         0
m1069519                  7.53      1.046     0.1206      1.602    0.1438      1.91
p901927                  7.496      1.041          0          0         0         0
l2897790                 7.593      1.055          0          0         0         0
l2935566                 7.593      1.055          0          0         0         0
l3216337                 7.469      1.037          0          0         0         0
p901931                  7.594      1.055          0          0         0         0
m1069548                 7.594      1.055          0          0         0         0
m1010013                 7.691      1.068          0          0         0         0
l3120503                 7.691      1.068          0          0         0         0
m1089145                 7.667      1.065    0.01994     0.2601   0.04249    0.5541
l3215385                 7.667      1.065    0.01995     0.2602   0.04251    0.5544
m1026852                 7.495      1.041     0.1568      2.092    0.1629     2.173
m1069420                 7.557       1.05     0.1794      2.373    0.1065     1.409
l3157708                 7.446      1.034          0          0         0         0
n1137991                 7.446      1.034          0          0         0         0
m1108413                 7.536      1.047          0          0         0         0
m1108460                 7.534      1.046          0          0         0         0
p827532                  7.768      1.079          0          0         0         0
m1047326                 7.768      1.079          0          0         0         0
e182732                  7.436      1.033     0.1402      1.885    0.1557     2.094
m1026760                 7.436      1.033       0.14      1.883     0.156     2.097
l3048205                 7.528      1.046          0          0         0         0
m1108361                 7.516      1.044          0          0         0         0
m3036169                  7.34      1.019          0          0         0         0
l2673317                  7.34      1.019          0          0         0         0
l3178981                 7.581      1.053          0          0         0         0
m1047368                  7.57      1.051          0          0         0         0
n1136354                 7.529      1.046     0.1216      1.615    0.1463     1.943
l2879794                 7.622      1.059          0          0         0         0
m1142811                 7.622      1.059          0          0         0         0
m1069565                 7.456      1.036          0          0         0         0
l2785536                 7.456      1.036          0          0         0         0
l3104114                 7.469      1.037          0          0         0         0
m1009824                 7.466      1.037          0          0         0         0
l2745848                  7.52      1.045     0.1697      2.256    0.1125     1.496
l2673308                 7.522      1.045     0.1702      2.263    0.1121     1.491
l2991939                 7.525      1.045     0.1712      2.275    0.1115     1.481
l2916606                 7.547      1.048          0          0         0         0
l2822864                 7.547      1.048          0          0         0         0
m1142851                 7.613      1.057    0.01928     0.2532   0.03284    0.4313
196-31070                7.613      1.057    0.01936     0.2543   0.03322    0.4364
m1209822                 7.514      1.044          0          0         0         0
m1209823                 7.511      1.043          0          0         0         0
m1069550                 7.461      1.036          0          0         0         0
m1069551                  7.46      1.036          0          0         0         0
l3141397                 7.224      1.003          0          0         0         0
l3649299                 7.492      1.041          0          0         0         0
m3772794                 7.492      1.041          0          0         0         0
p895106                   7.61      1.057          0          0         0         0
l3048887                  7.61      1.057          0          0         0         0
m1047824                 7.198     0.9998          0          0         0         0
m1047834                 7.194     0.9992          0          0         0         0
m1069350                 7.598      1.055     0.1858      2.445   0.09673     1.273
n1144668                 7.598      1.055     0.1858      2.445   0.09617     1.266
l2879072                 7.499      1.042          0          0         0         0
m1047441                 7.485       1.04          0          0         0         0
m1108274                 7.439      1.033          0          0         0         0
m1108269                 7.439      1.033          0          0         0         0
l3235244                 7.656      1.063          0          0         0         0
m1069398                 7.655      1.063          0          0         0         0
n1147862                 7.492      1.041          0          0         0         0
l2685805                 7.492      1.041          0          0         0         0
m1069247                 7.689      1.068          0          0         0         0
m1069248                 7.689      1.068          0          0         0         0
l2786273                 7.438      1.033          0          0         0         0
m1108278                 7.438      1.033          0          0         0         0
l3254238                  7.85       1.09    0.05282     0.6729    0.1169     1.489
m1047303                 7.864      1.092    0.05398     0.6865    0.1191     1.514
m1047633                 7.444      1.034          0          0         0         0
l2897554                 7.443      1.034          0          0         0         0
m1069627                 7.409      1.029          0          0         0         0
l2897791                 7.408      1.029          0          0         0         0
m1089097                 7.443      1.034          0          0         0         0
m1108270                 7.442      1.034          0          0         0         0
n1142101                 7.545      1.048          0          0         0         0
l2936214                 7.545      1.048          0          0         0         0
l3066810                 7.502      1.042          0          0         0         0
l2897769                 7.501      1.042          0          0         0         0
m1209758                 7.557       1.05          0          0         0         0
m1209753                 7.557       1.05          0          0         0         0
m1047528                 7.483      1.039     0.1632      2.181    0.1278     1.707
l2858166                 7.483      1.039     0.1632      2.181    0.1279     1.709
m1142843                 7.612      1.057    0.01849     0.2429    0.0293    0.3849
l3081380                 7.612      1.057    0.01825     0.2398   0.02821    0.3706
l2804272                  7.46      1.036          0          0         0         0
l2841641                  7.46      1.036          0          0         0         0
m1069393                 7.522      1.045          0          0         0         0
m1069408                 7.517      1.044          0          0         0         0
n1142104                 7.637      1.061    0.03761     0.4924    0.1317     1.724
m1108500                 7.638      1.061    0.03786     0.4957    0.1331     1.743
l3216348                 7.308      1.015          0          0         0         0
l2841627                 7.307      1.015          0          0         0         0
l2916599                 7.473      1.038          0          0         0         0
m1047447                  7.47      1.038          0          0         0         0
l2954349                  7.47      1.038          0          0         0         0
l3235246                 7.198     0.9998          0          0         0         0
m1125911                 7.576      1.052          0          0         0         0
l2711224                 7.575      1.052          0          0         0         0
n1147863                 7.519      1.044          0          0         0         0
l3122817                 7.519      1.044          0          0         0         0
m1186061                 7.589      1.054    0.01423     0.1875   0.01898    0.2501
l2861223                 7.559       1.05          0          0         0         0
m1069130                 7.704       1.07          0          0         0         0
l3085396                 7.703       1.07          0          0         0         0
e182730                  7.435      1.033          0          0         0         0
n1142109                 7.435      1.033          0          0         0         0
m1069417                 7.571      1.052     0.1823      2.409    0.1052     1.389
n1138597                 7.572      1.052     0.1826      2.411    0.1051     1.388
m1026987                 7.217      1.002          0          0         0         0
m1026990                 7.216      1.002          0          0         0         0
m1142832                 7.612      1.057    0.01786     0.2346   0.02658    0.3492
l3160865                 7.612      1.057    0.01779     0.2337   0.02637    0.3464
l2673323                 7.509      1.043          0          0         0         0
m1009809                 7.509      1.043          0          0         0         0
l2822869                 7.476      1.038     0.1545      2.067    0.1363     1.823
m1026808                  7.47      1.038     0.1527      2.044    0.1386     1.856
m1047825                 7.184     0.9979          0          0         0         0
m1069731                 7.183     0.9977          0          0         0         0
n1140520                 7.425      1.031          0          0         0         0
l2729410                 7.425      1.031          0          0         0         0
l3178978                  7.33      1.018          0          0         0         0
m1069384                 7.657      1.064          0          0         0         0
l3066805                 7.657      1.064          0          0         0         0
m4362181                 7.452      1.035          0          0         0         0
m1047319                 8.006      1.112          0          0         0         0
m1047318                 8.006      1.112          0          0         0         0
l3216358                 7.482      1.039          0          0         0         0
m1026826                  7.48      1.039          0          0         0         0
m1108276                 7.439      1.033          0          0         0         0
m1089198                  7.52      1.045     0.1116      1.484    0.1007     1.339
m1089201                 7.524      1.045     0.1129        1.5    0.1069     1.421
m1047763                 7.387      1.026     0.1899       2.57    0.1625       2.2
n1136027                 7.434      1.033          0          0         0         0
l3101827                   7.5      1.042          0          0         0         0
m1108540                 7.497      1.041          0          0         0         0
m1026335                 7.844      1.089          0          0         0         0
l2804259                 7.844      1.089          0          0         0         0
n1136357                 7.593      1.055          0          0         0         0
m1047513                 7.488       1.04       0.16      2.137    0.1295     1.729
m1047507                 7.489       1.04     0.1593      2.127    0.1305     1.742
m1142863                 7.613      1.057    0.02016     0.2648   0.03706    0.4868
n1141480                 7.644      1.062          0          0         0         0
m1125916                 7.577      1.052          0          0         0         0
l2879767                 7.577      1.052          0          0         0         0
l3066809                 7.465      1.037          0          0         0         0
m1069487                 7.464      1.037          0          0         0         0
m1142818                 7.612      1.057    0.01758     0.2309   0.02631    0.3457
p829965                  7.612      1.057    0.01741     0.2287   0.02646    0.3476
q14733                   7.498      1.042     0.1669      2.225      0.11     1.467
m1047568                 7.498      1.041     0.1667      2.224    0.1104     1.473
m1047322                 7.768      1.079          0          0         0         0
l2954338                 7.465      1.037          0          0         0         0
m1047409                  7.31      1.015          0          0         0         0
l2841648                  7.31      1.015          0          0         0         0
m1089177                 7.465      1.037          0          0         0         0
m1026951                 7.635      1.061          0          0         0         0
l2954347                 7.635       1.06          0          0         0         0
m4122657                 7.451      1.035          0          0         0         0
l3027124                  7.45      1.035          0          0         0         0
m1069419                 7.566      1.051     0.1813      2.396    0.1056     1.396
m1069418                 7.568      1.051     0.1816        2.4    0.1055     1.394
m1026824                 7.491       1.04      0.162      2.163    0.1745      2.33
p859694                  7.511      1.043          0          0         0         0
m1047453                 7.457      1.036          0          0         0         0
l2691948                 7.457      1.036          0          0         0         0
p860892                  7.557       1.05          0          0         0         0
n1139543                 7.557       1.05          0          0         0         0
m1089205                 7.531      1.046          0          0         0         0
n1134472                 7.531      1.046          0          0         0         0
l2710542                 7.493      1.041          0          0         0         0
m3032980                 7.592      1.054    0.01403     0.1848   0.01846    0.2432
m3032977                 7.596      1.055    0.01465     0.1929   0.01848    0.2433
m3763618                 7.482      1.039     0.1607      2.147    0.1409     1.883
p1121282                 7.456      1.036          0          0         0         0
l2917330                 7.622      1.059          0          0         0         0
l2861222                 7.621      1.059          0          0         0         0
m1047490                 7.498      1.041     0.1611      2.149    0.1278     1.705
p1164481                  7.53      1.046          0          0         0         0
m1069356                  7.55      1.049          0          0         0         0
m1069363                  7.55      1.049          0          0         0         0
p828359                  7.446      1.034          0          0         0         0
l2878848                 7.445      1.034          0          0         0         0
m1047486                 7.509      1.043     0.1654      2.202    0.1196     1.592
l3177665                 7.554      1.049          0          0         0         0
l2805036                 7.438      1.033          0          0         0         0
l2692654                 7.636      1.061          0          0         0         0
m1125929                 7.636      1.061          0          0         0         0
m1047669                 7.446      1.034     0.1686      2.265    0.1341     1.802
m1047672                 7.445      1.034     0.1687      2.265    0.1342     1.802
m1125919                 7.613      1.057    0.01754     0.2304   0.02861    0.3757
p829961                  7.636      1.061          0          0         0         0
m1142819                 7.612      1.057    0.01764     0.2317   0.02627    0.3451
p829960                  7.582      1.053          0          0         0         0
p829979                  7.561       1.05          0          0         0         0
m3036172                  7.56       1.05          0          0         0         0
m1026883                 7.456      1.036          0          0         0         0
m1026898                 7.455      1.036          0          0         0         0
m1089143                 7.668      1.065    0.01992     0.2598   0.04243    0.5534
l3141400                 7.704       1.07          0          0         0         0
m1069481                 7.519      1.044     0.1694      2.253    0.1126     1.498
p827507                  7.475      1.038          0          0         0         0
m1026377                 7.833      1.088          0          0         0         0
l3048210                 7.833      1.088          0          0         0         0
e182722                  7.661      1.064          0          0         0         0
m1026331                 7.866      1.093    0.07108     0.9037    0.1482     1.884
l3214055                 8.056      1.119          0          0         0         0
m1108295                 7.627      1.059    0.01892     0.2481   0.03809    0.4995
l2936279                 7.632       1.06    0.01907     0.2499   0.03859    0.5057
m1026704                 7.442      1.034          0          0         0         0
l2841634                 7.442      1.034          0          0         0         0
m1047386                 7.549      1.048          0          0         0         0
m1047379                 7.548      1.048          0          0         0         0
m1089115                 7.539      1.047    0.02385     0.3164   0.04855    0.6441
m1026486                 7.525      1.045          0          0         0         0
m1026488                 7.525      1.045          0          0         0         0
l3010570                 7.844      1.089          0          0         0         0
p904451                  7.539      1.047          0          0         0         0
221-282819               7.539      1.047          0          0         0         0
m1125968                 7.619      1.058    0.02948      0.387   0.08508     1.117
p895107                  7.684      1.067          0          0         0         0
n1136999                 7.481      1.039          0          0         0         0
m1069412                 7.511      1.043          0          0         0         0
l2879061                 7.511      1.043          0          0         0         0
m1026947                 7.635      1.061          0          0         0         0
m1142880                 7.431      1.032          0          0         0         0
l2891575                 7.431      1.032          0          0         0         0
m1026848                 7.497      1.041          0          0         0         0
m1026847                 7.497      1.041          0          0         0         0
l2897793                 7.493      1.041          0          0         0         0
m1069521                 7.493      1.041          0          0         0         0
m1069175                 7.567      1.051    0.02342     0.3096    0.0522    0.6899
l3197637                 7.601      1.056          0          0         0         0
l3197635                 7.485       1.04          0          0         0         0
l2804257                 7.738      1.075          0          0         0         0
l2860485                 7.737      1.075          0          0         0         0
l3235945                 7.496      1.041          0          0         0         0
l2842330                 7.496      1.041          0          0         0         0
l2804254                 7.429      1.032          0          0         0         0
m1047752                 7.429      1.032          0          0         0         0
m1166370                 7.619      1.058          0          0         0         0
m1166364                 7.619      1.058          0          0         0         0
m3763619                 7.482      1.039     0.1607      2.147     0.141     1.884
m3037540                 7.507      1.043          0          0         0         0
l2710509                 7.507      1.043          0          0         0         0
l2763072                 7.661      1.064          0          0         0         0
m4118754                 7.658      1.064          0          0         0         0
m1089196                 7.518      1.044     0.1109      1.475   0.09696      1.29
m1047484                 7.511      1.043     0.1663      2.214    0.1177     1.568
l3010560                 7.512      1.043     0.1669      2.221    0.1167     1.553
l3254219                 7.851      1.091          0          0         0         0
l3254220                 7.851      1.091          0          0         0         0
m1026648                 7.345       1.02          0          0         0         0
m1026647                 7.343       1.02          0          0         0         0
m1089112                 7.546      1.048    0.02419     0.3206   0.04888    0.6477
l2691951                 7.563      1.051          0          0         0         0
